Participant Name,Weekly.Matches(Before),Dates(Before),Dates.Liked(Before),Super.Likes(Before),Weekly.Matches(After),Dates(After),Dates.Liked(After),Super.Likes(After),Survey Scores(Before),Survey Scores(After),5.matches.to.other.platform,5.matches.to.phone.numbers(after)
S,3,0,0,0,35,2,2,2,23,30,1,4
H,2,0,0,0,10,0,0,0,20,35,0,2
M1,12,0,0,0,12,0,0,0,37,29.5,3,3
M2,35,0,0,2,35,0,0,2,25,28,0,2
C,13,1,0,0,25,1,1,1,32.5,35,2,3
