Bachelor_Favoritism,TV_most_1_TEXT,TV_most_2_TEXT,TV_most_3_TEXT,TV_most_4_TEXT,TV_most_5_TEXT,Age,Sex,Race,Rel,Sex_or,Spir,TV,Tvsoap,Tvdrama,Tvsitcom,Cheated,Phys,Emo,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8,IC9,IC10,IC11,IC12,IC13,IC14,IC15,IC16,IC17,IC18,IC19,IC20,IT1,IT2,IT3,IT4,IT5,IT6,IT7,IT8,IT9,IT10,IT11,IT12,IT13,IT14,IT15,Inftotr,condo,F1,F2,F3,F4,F5,F6,New,IC,TV_sex1,TV_sex2,TV_sex3,Single,White,Porn3,Cohab,No56
0,Suits,How to Get Away with Murder,Scandal,Grey's Anatomy,The Blacklist,22,2,2,3,1,4,2,0,2,1,2,,,1,1,1,1,1,1,1,1,2,2,4,7,7,7,7,7,7,7,7,7,1,2,1,3,4,3,2,2,1,2,2,1,4,4,2,2.27,2,16,21,38,48,56,56,4,3.95,1,1,1,0,0,1,0,56
0,The Voice,How to Get Away with Murder,The Ellen Show,The tonight show,Awkward,19,2,2,1,1,7,1,0,1,0,1,3,3,2,2,3,2,2,2,2,2,2,3,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1.27,1,50,56,74,74,80,81,2,1.65,2,4,4,1,0,3.33,0,80.5
0,SportsCenter,Nightline,Live telecasts of SF Giants games,Live telecasts of Golden State Warriors games,Live telecasts of SF 49ers games,20,2,2,1,1,35,3,0,0,0,2,,,2,4,4,5,4,4,5,3,4,3,5,5,5,4,4,6,5,5,5,5,1,1,1,1,1,1,1,1,1,3,5,5,4,4,1,2.07,2,47,55,65,70,75,58,2,4.35,5,6,1,1,0,4,0,66.5
5,The Bachelor,Black-ish,Young and Hungry,Friends,Masterchef,21,2,2,3,1,19,10,0,5,5,2,,,5,5,5,5,5,5,2,4,5,3,5,4,3,3,3,4,3,4,3,3,1,1,1,3,3,1,1,1,1,2,2,2,2,3,3,1.8,2,76,85,61,80,69,56,5,3.95,1,3,1,0,0,1.67,0,62.5
0,How to Get Away with Murder,How I Met Your Mother,Modern Family,Shark Tank,The Big Bang Theory,21,2,2,2,1,42,3,0,3,2,2,,,7,5,7,5,6,5,2,4,7,5,5,7,7,6,5,5,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,3,4,2,1.4,1,27,57,36,49,60,26,4,5.8,4,5,2,0,0,3.67,0,43
0,The Fresh Prince of Bel-Air,Family Guy,American Dad,NBA TV,Brooklyn 9-9,23,1,2,1,1,64,15,0,0,7,2,,,5,3,4,4,5,4,5,4,5,5,4,4,4,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,4,2,2,2,4,5,5,3,0,65,69,38,47,25,20,4,3.15,2,2,2,1,0,2,0,22.5
0,Jane the Virgin,The Big Bang Theory,Friends,Fuller House,Keeping up with the Kardashians,19,2,5,1,1,15,2,0,0,2,2,,,5,5,6,6,5,4,3,4,4,3,2,1,1,1,1,1,1,1,1,1,1,2,1,2,3,1,1,1,1,1,2,1,1,2,1,1.4,0,20,10,10,16,10,5,1,2.8,2,2,5,1,1,3,0,7.5
4,The Office,The Bachelor,Real Housewives,Grace and Frankie,Weeds,21,2,5,1,1,2,20,0,5,10,2,,,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,1,1,1,1,1,1,3,4,1,1,2,1,4,4,1,1.8,2,40,39,50,79,80,44,2,6.95,1,1,1,1,1,1,0,62
0,Grey's Anatomy,Scandal,Parenthood,Friday Night Lights,n/a,21,2,5,1,1,59,3,1,2,0,1,2,4,2,2,4,4,3,4,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,3,1,1,1,1,1,1,3,4,1,2,1,39,55,39,64,65,43,3,1.9,1,1,1,1,1,1,0,54
0,The Mysteries of Laura,Under the Dome,I-Zombie,The Fosters,Masterchef Junior,18,2,2,1,1,0,2,0,2,0,2,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,4,4,4,1,3,2,2,7,2,2,2,2.8,1,29,29,24,40,34,23,3,1,1,3,1,1,0,1.67,0,28.5
