Bachelor_Favoritism,TV_most_1_TEXT,TV_most_2_TEXT,TV_most_3_TEXT,TV_most_4_TEXT,TV_most_5_TEXT,Age,Sex,Race,Rel,Sex_or,Spir,TV,Tvsoap,Tvdrama,Tvsitcom,Cheated,Phys,Emo,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8,IC9,IC10,IC11,IC12,IC13,IC14,IC15,IC16,IC17,IC18,IC19,IC20,IT1,IT2,IT3,IT4,IT5,IT6,IT7,IT8,IT9,IT10,IT11,IT12,IT13,IT14,IT15,Inftotr,condo,F1,F2,F3,F4,F5,F6,New,IC,TV_sex1,TV_sex2,TV_sex3,Single,White,Porn3,Cohab,No56
0,The Walking Dead,Game of Thrones,The Flash,Sherlock,White Collar,18,2,2,1,1,87,4,0,4,0,2,,,3,3,4,3,6,4,5,5,1,1,3,4,4,4,3,3,3,3,3,5,1,2,1,1,1,1,3,2,1,2,3,1,6,5,1,2.07,2,42,46,19,35,26,13,1,3.5,1,3,1,1,0,1.67,0,19.5
0,Grey's Anatomy,The Office,Parks and Recreation,Vampire Diaries,The Originals,19,2,2,3,1,40,10,0,10,0,1,2,5,6,5,6,6,6,6,6,6,6,3,5,4,4,4,5,4,4,4,4,4,1,2,1,1,1,1,2,2,1,4,3,2,4,4,1,2,0,13,20,66,80,81,75,4,4.9,1,4,1,0,0,2,0,78
0,Grey's Anatomy,The Office,Parks and Recreation,The Walking Dead,Lost,20,1,2,3,1,37,10,0,10,10,1,1,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,7,1,1,4,4,2,4,4,2,2,3,1,5,5,6,5,5,4,3.73,1,41,41,14,17,20,21,4,1.4,6,6,1,0,0,4.33,0,20.5
0,Downton Abbey,BBC British Baking Show,Curb Your Enthusiasm,Modern Family,New Girl,21,2,2,3,1,65,2,0,1,1,2,,,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,6,5,3,1.87,2,15,15,20,25,25,25,1,1.1,2,2,1,0,0,1.67,0,25
0,n/a,n/a,n/a,n/a,n/a,18,2,3,1,1,70,0,0,0,0,1,3,5,2,2,2,2,2,2,2,2,2,2,7,7,7,7,7,7,7,7,7,7,1,1,1,1,2,1,1,1,1,1,1,1,3,3,1,1.33,2,20,20,14,28,28,14,4,4.5,1,1,1,1,0,1,0,21
0,Korean drama,Charmed,Pretty Little Liars,Vampire Diaries,Ghost Whisperer,18,2,2,1,1,92,0,0,20,0,2,,,4,4,7,7,7,4,3,4,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,2,4,1,1,1,1,4,4,1,1,1,1,1.67,0,40,50,50,50,50,50,4,6.2,,6,1,1,0,3.5,0,50
0,2 Broke Girls,The Big Bang Theory,korean drama,korean dramas,Running Man,21,2,2,1,1,77,3,3,3,0,1,3,3,5,4,4,4,4,4,5,6,6,5,5,4,4,3,3,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,50,81,65,91,92,64,3,3.7,2,2,1,1,0,1.67,0,78
0,hong kong drama,Keeping up with the Kardashians,chinese reality show,Vampire Diaries,Prison Break,21,2,2,3,1,87,2,1,7,4,2,,,3,4,3,5,3,4,4,3,6,4,3,4,3,2,5,5,5,4,5,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.07,0,51,92,50,57,48,55,6,4,3,3,3,0,0,3,0,51.5
0,Person of Interest,The Big Bang Theory,Lie To Me,Elementary,Supergirl,20,2,2,1,1,0,34,0,14,0,2,,,5,3,7,5,3,5,6,6,7,5,4,1,1,1,1,1,1,1,1,1,2,2,2,3,3,2,2,3,1,3,3,2,4,4,3,2.6,1,39,50,30,28,29,31,3,3.25,1,1,1,1,0,1,0,30
0,Friends,Dwelling Narrowness,Modern Family,The Walking Dead,Bones,20,2,3,1,1,29,0,0,0,0,2,,,1,1,3,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1.27,0,39,40,24,24,24,24,4,1.2,1,1,1,1,0,1,0,24
0,The Ellen Show,How to Get Away with Murder,NA,NA,NA,21,2,2,1,1,71,5,1,1,3,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1.4,0,39,48,21,13,30,24,7,4,3,3,3,1,0,3,0,27
0,Forensic Files,CSI,NCIS,Food Network,Bones,24,2,2,3,1,50,40,0,20,20,2,,,7,6,5,2,5,5,7,7,7,2,6,1,1,1,1,1,2,1,1,1,2,1,1,3,3,2,3,3,2,3,2,2,4,4,2,2.47,1,30,43,45,50,55,62,2,3.45,2,3,1,0,0,2,0,58.5
0,Chuck,Grey's Anatomy,Master Chef,Friends,Everybody Loves Raymond,20,2,2,3,1,26,0,0,0,0,2,,,4,2,1,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,1,3,4,1,4,6,3,2.33,0,24,36,33,50,40,33,3,1.7,1,1,1,0,0,1,0,36.5
0,The Office,Sons of Anarchy,Parks and Recreation,Grey's Anatomy,It's Always Sunny in Philadelphia,20,2,2,3,1,50,8,0,4,4,2,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,5,5,1,1.73,1,25,30,24,25,25,25,4,1,1,1,1,0,0,1,0,25
0,Fixer Upper,House Hunters,How to Get Away with Murder,Keeping up with the Kardashians,One Tree Hill,22,2,4,3,1,75,3,0,1,0,2,,,3,1,3,2,4,3,2,3,3,3,2,1,1,1,1,1,1,1,1,1,2,2,1,4,3,1,3,3,1,2,2,1,4,4,2,2.33,1,35,45,50,65,65,45,2,1.9,1,,1,0,0,1,0,55
5,The Bachelor,Grey's Anatomy,Friends,The Voice,Friday Night Lights,19,2,5,2,1,3,2,0,0,0,2,,,3,1,1,2,2,3,3,3,3,1,5,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1.13,1,14,25,4,8,24,4,5,2.05,1,2,1,0,1,1.33,0,14
0,Jimmy Kimmel,Jimmy Fallon,The Ellen Show,Once Upon A Time,Younger,20,2,5,3,1,30,2,0,0,2,2,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,2,1,1,2,1,4,4,1,1.73,1,60,70,0,5,1,0,3,1,4,4,2,0,1,3.33,0,0.5
0,Jane the Virgin,The Walking Dead,Vampire Diaries,Once Upon a Time,Orange Is the New Black,21,2,3,1,1,20,4,4,4,1,1,2,4,5,3,6,6,6,6,6,6,6,6,6,6,6,5,2,2,6,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,14,27,9,18,19,17,3,5,2,4,1,1,0,2.33,0,18
0,It's Always Sunny in Philadelphia,Grey's Anatomy,Portlandia,Saturday Night Live,Arrested Development,21,2,2,1,1,87,10,10,10,10,1,4,4,5,2,4,2,3,5,4,5,5,5,6,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,1,2,2,2,2,2,3,4,2,1.87,1,60,70,10,20,30,15,2,3.2,3,3,3,1,0,3,0,22.5
0,Arrow,Madame Antoine,Oh My Venus,Remember,I Hear Your Voice,20,2,2,3,1,80,0,3,0,2,2,,,4,7,7,5,4,5,4,5,6,6,5,7,7,6,7,7,7,7,7,7,1,1,1,1,2,1,1,2,1,1,1,1,3,3,2,1.47,2,11,50,13,34,9,3,1,6,1,1,1,0,0,1,0,6
5,Southland,The Office,Grey's Anatomy,Suits,The Bachelor,21,2,2,3,1,0,8,2,5,1,1,3,1,1,1,3,6,1,1,3,4,5,4,5,1,1,2,1,1,2,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1.2,1,35,40,70,75,80,75,1,2.25,1,2,3,0,0,2,0,77.5
0,Scandal,House of Cards,New Girl,Bob's Burgers,netflix movies,21,2,3,3,1,70,10,0,6,4,2,,,5,5,5,5,7,7,2,7,7,7,7,7,7,7,7,7,7,7,7,6,6,1,4,6,4,1,4,1,1,1,1,1,4,4,3,2.8,2,45,30,20,20,21,21,5,6.3,3,4,1,0,0,2.67,0,21
0,NBA,ABC News,Movie Channel,College Football,NFL,20,1,2,1,1,87,15,5,8,2,1,3,3,4,3,4,3,3,4,3,4,3,5,2,1,5,3,4,3,2,2,3,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,3.8,1,46,49,42,39,42,38,4,3.25,2,3,3,1,0,2.67,0,40
0,The Mindy Project,Broad City,Jessica Jones,Saturday Night Live,Orange Is the New Black,20,2,5,1,1,80,5,0,1,4,2,,,1,1,3,1,4,1,1,1,3,2,1,5,2,5,1,1,1,1,5,7,1,1,1,1,1,1,1,1,1,5,4,4,3,5,2,2.13,1,25,45,1,25,23,5,3,2.35,1,1,3,1,1,1.67,0,14
0,Keeping up with the Kardashians,girlfriends guide to divorce,fbi files,Criminal Minds,Forensic Files,22,2,3,2,1,83,8,5,5,5,1,3,4,2,2,3,2,2,2,2,2,4,2,2,2,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,37,72,40,62,47,41,3,2.2,1,1,1,0,0,1,0,44
3,Scandal,White Collar,The Bachelor,The Following,Modern Family,19,2,2,1,1,50,5,0,5,0,2,,,5,2,3,4,4,4,2,4,4,1,3,1,1,1,1,1,2,1,1,1,1,2,1,1,3,3,1,2,1,1,2,1,3,4,1,1.8,2,24,29,8,14,19,9,4,2.3,1,2,1,1,0,1.33,0,14
0,Keeping up with the Kardashians,The People V OJ Simpson,Fuller House,Total Divas,New Girl,22,2,3,3,1,80,1,0,1,1,2,,,5,5,1,6,3,3,4,4,4,4,4,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,3,1,1,1,1,4,4,1,1.67,0,53,68,45,76,78,67,1,2.65,1,1,1,0,0,1,0,72.5
0,House of Cards,CNN,Shark Tank,Comedy Central,SportsCenter,22,1,5,1,1,50,7,0,4,3,1,3,4,7,5,7,6,1,4,4,5,7,5,7,7,7,7,7,7,7,7,7,7,1,3,1,4,1,1,1,1,1,1,2,2,3,3,1,1.73,0,40,50,70,75,80,60,4,6.05,1,1,1,1,1,1,0,70
0,The Walking Dead,Game of Thrones,The Office,Arrow,How I Met Your Mother,20,1,2,2,1,20,4,0,2,2,2,,,1,1,1,1,2,3,1,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,5,6,2,1.87,1,31,43,27,52,45,37,4,1.35,6,6,1,0,0,4.33,0,41
0,Jane the Virgin,America's Next Top Model,The Voice,How I Met Your Mother,Black-ish,19,2,2,2,1,90,1,0,0,1,1,1,3,6,5,7,6,6,6,5,6,7,6,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1.2,2,29,50,39,39,39,40,2,6.5,1,1,1,0,0,1,0,39.5
0,The League,Psych,Dexter,ESPN,South Park,18,1,5,1,1,29,6,0,2,4,2,,,2,1,3,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,3,2,2,2,2,4,4,2,2.13,2,29,40,40,45,40,34,4,1.3,2,2,1,1,1,1.67,0,37
0,How to Get Away with Murder,Dr. Ken,The Big Bang Theory,The Flash,Legends of Tomorrow,20,1,3,1,2,50,5,0,1,4,2,,,2,1,2,2,1,2,1,2,2,1,2,2,2,2,2,1,1,1,1,1,2,2,1,2,1,1,2,2,1,1,2,1,3,3,1,1.67,0,50,60,20,30,30,20,3,1.55,1,3,2,1,0,2,0,25
0,Psych,Numbers,Grey's Anatomy,Phineas and Ferb,Mickey Mouse Clubhouse,20,2,2,1,1,11,2,0,2,0,2,,,3,6,7,6,7,7,1,1,6,1,3,7,7,7,7,7,7,7,5,7,1,1,1,3,2,1,1,1,1,3,2,1,1,3,1,1.53,2,40,30,9,30,34,18,3,5.45,1,4,2,1,0,2.33,0,26
0,Jane the Virgin,The Office,Pretty Little Liars,Once Upon a Time,Modern Family,19,2,7,3,1,55,5,1,1,4,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1.4,0,25,35,45,60,60,45,3,1,2,2,1,0,0,1.67,0,52.5
0,The Walking Dead,Criminal Minds,Cheese Trap,Gossip Girl,Sherlock,23,2,2,3,1,60,2,1,6,2,1,2,2,2,1,1,1,2,2,3,2,4,3,1,1,1,2,4,5,2,3,2,2,5,2,1,4,3,4,2,2,1,2,2,4,4,4,1,2.73,0,65,37,39,51,68,72,3,2.2,3,3,3,0,0,3,0,70
0,news,foreign shows,Gossip Girl,none,none,19,2,2,1,1,30,3,0,0,0,2,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,4,4,1,1,1,1,1.8,1,50,50,0,0,0,0,3,1,1,1,1,1,0,1,0,0
0,How to Get Away with Murder,Chelsea Does,House,Agents of SHIELD,Orphan Black,19,2,2,1,1,20,2,0,2,1,1,4,2,2,2,1,2,3,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,4,2,1,1,1,2,3,3,4,5,1,2.2,0,50,60,30,40,30,35,2,1.4,3,3,3,1,0,3,0,32.5
0,Golf cental,Sportscenter,Family Guy,Breaking Bad,Mad Men,19,1,5,1,1,10,1,1,1,0,1,2,1,1,5,1,1,2,1,1,4,1,4,3,5,4,4,4,4,4,4,4,5,5,5,2,6,4,2,3,2,3,3,2,3,2,3,5,3.33,1,53,62,30,17,10,16,4,3.1,2,3,1,1,1,2,0,13
0,20/20,News 10,ABC Nightly News,The Big Bang Theory,Nightline,20,2,5,3,1,1,7,0,0,2,2,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1.4,2,41,54,74,74,72,73,2,1,1,1,1,0,1,1,0,72.5
0,2 Broke Girls,The Big Bang Theory,korean drama,korean dramas,Running Man,21,2,2,1,1,77,3,3,3,0,1,3,3,5,4,4,4,4,4,5,6,6,5,5,4,4,3,3,3,1,2,1,1,2,2,1,2,2,1,2,2,1,2,2,1,3,3,1,1.8,0,50,70,24,31,31,25,4,3.7,2,2,1,1,0,1.67,0,28
0,The People V OJ Simpson,How to Get Away with Murder,Mob Wives,Love and Hip Hop,Various Youtube Channel,23,2,1,3,1,98,2,0,2,0,2,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,39,63,38,47,38,42,4,1,1,1,1,0,0,1,0,40
0,0,0,0,0,0,23,2,3,3,1,30,0,0,0,0,2,,,3,2,1,3,1,1,2,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,4,1,4,4,1,1.73,2,36,36,91,91,91,88,3,1.5,1,1,1,0,0,1,0,89.5
0,Friends,Friday Night Lights,How I Met Your Mother,Parenthood,The Office,22,1,2,1,1,75,20,0,10,10,2,,,6,3,5,5,6,6,6,6,6,5,6,2,2,2,2,2,2,2,2,2,1,1,1,3,3,1,5,4,2,5,4,2,5,5,3,3,0,40,40,50,50,50,50,4,3.9,3,2,2,1,0,2.33,0,50
0,I'm a singer,the voices of China,Running Man,Running Man,N/A,20,2,2,1,1,92,0,0,0,0,2,,,3,4,3,5,4,4,5,6,4,1,1,1,1,1,1,1,1,1,1,1,3,3,1,3,3,1,2,2,1,3,3,1,3,3,1,2.2,1,5,19,10,39,35,12,5,2.45,2,2,2,1,0,2,0,23.5
0,The Walking Dead,Agents of SHIELD,House of Cards,Modern Family,The Big Bang Theory,23,2,2,4,1,60,10,0,9,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,5,5,1,1.6,0,40,50,74,90,51,49,7,1,6,6,1,0,0,4.33,1,50
0,News,N/A,N/A,N/A,N/A,21,2,2,4,1,69,5,0,0,0,2,,,1,1,1,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1.27,2,50,80,35,70,36,35,5,1.2,1,1,1,0,0,1,1,35.5
0,The Big Bang Theory,Chicago Med,Code Black,The Magicians,Limitless,18,2,3,1,1,70,5,2,2,1,2,,,2,1,5,5,5,5,5,6,6,4,6,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1.27,1,46,61,29,37,20,15,1,3.4,2,2,1,1,0,1.67,0,17.5
0,Saved by the Bell,Friends,Nikita,House of Cards,Korean television,21,2,2,2,1,43,25,5,5,15,2,,,6,3,5,4,2,3,2,1,4,1,2,2,3,2,1,1,3,3,3,5,2,1,1,2,2,1,1,1,1,3,3,2,2,3,2,1.8,1,34,35,19,25,25,20,5,2.8,2,3,2,0,0,2.33,0,22.5
0,Vampire Diaries,The Originals,chinese dramas,thai lakorns,korean dramas,20,2,2,3,1,100,4,4,10,4,1,5,2,1,1,5,1,5,1,1,1,5,1,6,7,7,7,7,7,7,7,7,7,4,3,1,4,4,1,3,5,1,2,2,1,4,4,1,2.67,1,34,56,35,37,29,29,5,4.55,1,1,1,0,0,1,0,29
0,None,None,None,None,None,22,2,5,1,1,55,0,0,0,0,2,,,3,2,3,2,4,3,3,4,5,4,2,1,1,1,1,1,1,1,1,2,1,2,1,3,3,1,4,4,2,3,4,3,4,4,3,2.8,2,61,55,22,28,20,20,3,2.25,1,1,1,1,1,1,0,20
3,Gilmore Girls,What Would You Do?,The Bachelor,One Tree Hill,Shark Tank,20,2,2,1,1,40,5,0,5,0,2,,,2,1,2,2,1,2,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1.27,2,30,35,20,30,35,30,2,1.35,1,1,1,1,0,1,0,32.5
0,Once Upon a Time,adult swims,The Big Bang Theory,NBC news,Fox news,23,1,2,6,2,0,3,0,1,1,2,,,5,4,5,6,6,6,7,4,5,5,5,7,5,1,1,3,6,6,2,4,4,5,2,2,2,1,3,5,2,5,5,4,7,7,2,3.73,0,14,29,18,24,44,38,5,4.65,1,3,5,0,0,3,1,41
0,Sportscenter,Monday Night Football,NBA,MLB,CNN,23,1,2,1,1,30,2,0,0,1,1,2,2,3,3,6,4,4,4,2,2,6,4,2,7,7,4,7,7,7,4,7,7,1,1,1,5,5,5,3,3,1,1,1,1,4,4,2,2.53,1,50,50,50,50,50,50,4,4.85,6,6,1,1,0,4.33,0,50
0,The People V OJ Simpson,Jane the Virgin,Awkward,Chicago Fire,Love and Hip Hop,22,2,2,2,1,6,2,4,0,0,4,2,,,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1.2,0,60,50,40,60,65,30,3,1.42,,1,1,0,0,1,0,47.5
0,Heroes,American Horror Story,Desperate Housewives,Law and Order SVU,One Tree Hill,21,2,5,3,1,29,15,0,15,5,2,,,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,3,3,4,4,4,1,1,1,1,2,1,1,2,1,1,2,1,3,3,1,1.47,0,30,51,35,77,79,45,4,3.65,3,4,1,0,1,2.67,0,62
0,Law and Order SVU,Gotham,Rosie,Castle,Quantico,24,2,3,1,1,52,14,0,14,0,1,3,3,7,1,7,4,6,7,7,7,7,1,7,1,7,1,1,7,1,5,6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,12,41,52,23,46,17,4,4.75,1,3,1,1,0,1.67,0,31.5
0,Scandal,Pretty Little Liars,Friends,Empire,Recovery Road,21,2,3,3,1,80,5,0,3,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,5,5,1,1,2,1,3,3,1,4,6,2,2.53,0,19,35,65,75,75,61,2,1.05,1,1,1,0,0,1,0,68
0,Scandal,Grey's Anatomy,Modern Family,Black-ish,Gilmore Girls,20,2,6,1,1,60,8,0,7,1,2,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1.13,1,34,35,6,70,70,5,3,1,1,1,1,1,0,1,0,37.5
0,Arrested Development,Breaking Bad,The Real Housewives of Orange County,The Cleveland Show,Law and Order SVU,20,2,3,3,1,100,25,0,5,20,2,,,2,1,3,2,1,2,2,2,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1.07,1,19,38,3,5,14,14,6,1.75,1,1,1,0,0,1,0,14
0,John Oliver,John Oliver,John Oliver,John Oliver,Same,27,2,3,1,1,71,1,0,0,1,2,,,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1.13,1,1,1,1,90,96,1,7,1.1,1,2,1,1,0,1.33,0,48.5
0,2 Broke Girls,The Big Bang Theory,Downton Abbey,Sherlock,Hell's Kitchen,20,2,2,1,1,75,0,0,1,2,2,,,5,6,7,5,6,7,5,5,7,6,5,7,7,7,7,7,7,7,7,7,6,3,1,6,2,1,7,2,1,7,1,1,2,7,3,3.33,1,45,45,5,12,12,4,2,6.35,2,2,2,1,0,2,0,8
0,Prison Break,The Following,Sons of Anarchy,Hawaii 5-0,Breaking Bad,22,2,2,1,1,30,3,1,2,0,1,1,2,7,6,6,7,6,7,7,7,6,2,3,2,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,2,2,1,2,3,1,1.47,0,25,50,30,46,18,24,3,3.8,2,3,1,1,0,2,0,21
0,The Office,Friends,Arrested Development,The Middle,Sherlock,21,2,7,1,1,30,10,0,0,10,2,,,4,1,2,2,2,2,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,2,2,3,1,1,2,1,4,5,2,2.2,0,4,10,1,20,0,0,2,1.65,1,1,1,1,0,1,0,0
0,The Office,Game of Thrones,Sherlock,Spongebob Squarepants,House of Cards,21,2,2,1,1,100,5,0,0,5,2,,,3,1,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1.13,1,30,30,10,20,40,35,4,1.4,1,1,1,1,0,1,0,37.5
0,Modern Family,The Big Bang Theory,2 Broke Girls,Agents of SHIELD,Arrow,21,2,2,1,1,80,5,1,4,0,1,2,3,5,3,5,5,6,6,6,6,6,5,5,4,4,5,5,5,5,5,5,5,3,3,1,2,2,1,3,3,1,3,3,2,3,3,1,2.27,1,18,25,35,29,21,25,3,5.05,2,4,1,1,0,2.33,0,23
0,The Voice,New Girl,Survivor,nba,mlb,20,1,5,1,1,19,20,0,5,5,1,4,4,7,6,7,7,7,7,7,7,7,7,7,7,7,7,4,5,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,5,7,1,1.67,0,50,72,19,20,10,10,2,6.7,3,3,1,1,1,2.33,0,10
0,The Flash,Arrow,NBA,Daredevil,The Walking Dead,21,1,2,3,1,60,4,0,4,0,1,1,2,2,1,6,2,3,3,2,3,5,3,3,6,6,6,6,4,7,6,7,7,3,2,1,3,4,2,4,2,3,3,2,2,4,4,3,2.8,2,40,50,40,30,45,35,3,4.4,3,2,1,0,0,2,0,40
0,The Walking Dead,Breaking Bad,not US,not US,not US,22,2,2,1,1,72,10,0,8,2,2,,,3,3,3,4,3,4,7,5,5,3,6,6,6,6,6,4,6,6,6,4,1,1,1,2,2,1,1,1,1,1,1,1,3,3,2,1.47,2,50,81,90,96,82,34,5,4.8,1,1,1,1,0,1,0,58
0,NA,NA,NA,NA,NA,23,1,4,1,1,84,0,0,0,0,1,2,2,1,1,7,4,4,1,1,3,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,6,6,4,1,2,1,7,7,2,3.07,2,33,34,51,51,50,51,3,2,6,6,6,1,0,6,0,50.5
0,Modern Family,The Big Bang Theory,CSI,Friends,Seinfeld,19,1,2,1,1,75,6,0,0,6,1,3,4,4,2,5,6,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,1,1,2,1,1,2,1,5,6,3,2.13,2,75,80,10,15,15,10,6,1.9,1,5,2,1,0,2.67,0,12.5
1,Grey's Anatomy,Scandal,Pretty Little Liars,American Horror Story,The Bachelor,20,2,5,1,1,5,0,2,0,0,3,2,,,5,4,6,5,6,6,5,6,4,4,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,1,1,2,1,2,2,1,1.33,2,24,43,14,29,19,9,4,3.68,,1,1,1,1,1,0,14
0,Pablo Escobar,Keeping up with the Kardashians,Grey's Anatomy,The Fosters,Narcos,22,2,3,1,1,60,15,15,0,0,2,,,5,1,7,2,4,1,1,1,6,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1.27,1,45,65,25,45,60,45,3,2.1,2,2,2,1,0,2,0,52.5
0,The Office,The Walking Dead,Parks and Recreation,Game of Thrones,Fear the Walking Dead,20,2,5,3,1,18,3,0,2,1,1,3,1,2,2,2,3,2,3,3,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,2,1,2,2,1,1,2,1,1.47,0,37,52,36,49,50,30,2,1.65,2,3,1,0,1,2,0,40
0,Friends,Friends,Friends,Friends,Friends,22,2,3,2,1,51,0,0,0,3,2,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,18,15,15,10,10,5,7,1,1,1,1,0,0,1,0,7.5
0,Suits,White Collar,NCIS,NFL Network,ESPN,21,1,5,1,1,14,0,2,0,0,1,2,,,7,1,2,2,5,5,5,5,5,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,61,60,50,50,50,50,5,2.68,,2,2,1,1,2,0,50
0,NCIS,Bones,How I Met Your Mother,Parks and Recreation,House,26,2,5,6,1,65,1,0,0,1,1,1,3,2,2,3,3,2,2,2,3,3,1,1,1,1,1,1,1,1,1,1,1,3,3,1,4,4,1,4,3,2,3,3,1,4,4,2,2.8,2,62,68,58,74,73,60,4,1.65,1,1,1,0,1,1,1,66.5
0,Castle,Rizzoli and Isles,How to Get Away with Murder,Once Upon a Time,The Big Bang Theory,20,2,5,1,1,75,7,0,6,1,2,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,4,1,1.33,2,45,55,15,60,65,19,4,1,1,1,1,1,1,1,0,42
0,The Walking Dead,None,None,None,None,20,1,2,2,1,31,0,0,0,0,1,2,3,2,2,2,2,2,2,2,2,5,2,2,1,1,1,1,1,1,1,1,5,3,4,1,1,1,1,1,1,1,1,1,1,4,4,4,1.93,0,51,54,72,70,63,62,2,1.9,1,2,1,0,0,1.33,0,62.5
0,Once Upon a Time,Limitless,The Amazing Race,Jane the Virgin,The Flash,22,2,3,3,1,50,14,5,4,0,2,,,7,5,2,7,7,7,7,7,6,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,40,55,45,60,60,30,7,3.45,1,2,2,0,0,1.67,0,45
